time_cost_all,time, 
49,0,Before
45.99815498,1,Before
47.83363148,2,Before
49.1024735,3,Before
48.32844037,4,Before
49.77576854,5,Before
55.12209302,6,Before
64.36629213,7,Before
84.07674419,8,Before
82.20273349,9,Before
83.44258373,10,Before
82.70483461,11,Before
86.352,12,Before
76.79123711,13,Before
68.99009901,14,Before
77.99529412,15,Before
81.7037037,16,Before
82.99076212,17,Before
86.76976744,18,Before
85.36516854,19,Before
83.41034483,20,Before
87.81896552,21,Before
73.38283828,22,Before
57.39092873,23,Before
